,Name,Summary,type
25,Marilith ,"Formed from the darkness of the Abyss, your marilith character has several traits that attest to its demonic origins.
",Fiends
26,Nuzulk ,"Pranksters of the night
",Fiends
27,Pit Fiend ,"Powerful devils, the imagery of evil
",Fiends
28,"Rakshasa, Variant ","The cat-shaped demons known as rakshasa are manipulative, tiger-like fiends.
",Fiends
29,Rakshasa ,"A rakshasa is a human-feline fiend hybrid, fearsome and hale in stature
",Fiends
30,Shadow Fiend ,"Fiends born from shadows and Dark magic
",Fiends
31,Tanarukk ,"Your tanarukk character has a variety of traits, derived from your mixed orc and demon ancestry.
",Fiends
32,Veissux ,"Veissux are strong, lesser fiends with powerful dark magic derived from the depths of the Netherworld.
",Fiends
33,White ,"These fiends of bone seek carnage
",Fiends
1,Blugruim ,"Hulking creatures whose hardy resilience is only countered by their kindness.
",Giants
2,Brute ,"Nasty and brutish, but not so short.
",Giants
3,Cyclops ,"Simple, deliberate, stubborn and hulking giants with one eye.
",Giants
4,Earth Giant ,"A race of giants, smaller than the rest of their kind their power comes from deep within the earth and posses the ability to manipulate the earth.
",Giants
5,Ettin ,"A race of two-headed giants
",Giants
6,Giantkin ,"As varied as the great colossi that spawned them, giantkin share one thing in common: Strength.
",Giants
7,Graug ,"Monstrous creatures dwelling in mountains that can eat trolls
",Giants
8,Half-Giant ,"Simple, deliberate, stubborn, and hulking. Not very nimble.
",Giants
9,Half-Troll ,"Tough, fierce, and hungry, half-trolls combine the best traits of both their parents' biology.
",Giants
10,Jotun ,"Jotun are frost giants of frigid, high-altitude biomes. By far, they are one of the oldest races originating from the god, Ymir.
",Giants
11,Ogrillon ,"Ogrillons (or Half-Ogres as they're most commonly known) are the result of a coupling between an ogre and a member of a different species, most commonly orcs. They're known for their strength and fierce temper, as well as their stupidity.
",Giants
12,Oni ,"Once proud protectors of the spirit world, now rowdy creatures of the night.
",Giants
13,Orch ,"Tall, dark-skinned, horned giants that live in the Feywilds.
",Giants
14,Trollkin ,"The decedents of trolls and humans, with human ingenuity and a troll's bottomless belly.
",Giants
15,Wood Giant ,"Standing tall and graceful, they are guardians of the select giant forests
",Giants
1,Aarongar ,"Shark people born of mad experimentation
",Humanoids
2,Abomasnow ,"A race of powerful pine tree-like humanoids.
",Humanoids
3,Aeldari ,"The Aeldari are lithe, graceful, and extraordinarily talented futuristic fey-like warriors from space that wield weapons yet to be concieved by man with consumate skill.
",Humanoids
4,Aeris ,"Former elven creatures made avian.
",Humanoids
5,Aethelf ,"A distant relative to the ancestor of elves
",Humanoids
6,Aetherborn ,"Race of aether plane beings born from aether and other elements
",Humanoids
7,Aggrand ,"A race with the ability to grow to giant size.
",Humanoids
8,Albino Gnoll ,"Outcast from the pack, smaller and weaker at birth, Albino Gnolls had to adapt to using their brains and their speed to be better than those that would harm them.
",Humanoids
9,Alien Grey ,"Alien Greys are from a distant, advanced civilization. You have crash-landed here.
",Humanoids
10,Aligotarian ,"Massive humanoids alligator
",Humanoids
11,Alloprax ,"Oddities among mortalkin, the alloprax stand as a race infused with the touch of the far-realm.
",Humanoids
12,Alolan Marowak ,"Pack creatures able to do a spirit dance
",Humanoids
13,Alraune ,"A race of plant-like flower-people.
",Humanoids
14,Altine ,"A race of humans with the physical abilities of spiders and shapeshifting capability.
",Humanoids
15,Alu-Demon ,"Vile, half-demon hybrids spawned from an Abyssal parent.
",Humanoids
16,Amanel ,"Mobile and ruthless hunters of evil.
",Humanoids
17,"Amazon, Variant ","A race of beautiful warrior women.
",Humanoids
18,Amazon ,"A race of warrior women.
",Humanoids
19,Amazonia ,"A race of warrior women descended from gods of war
",Humanoids
20,Amazonian ,"A race of beautiful warrior women.
",Humanoids
21,Ambis ,"Mute humanoid slimefolk who communicate through touch
",Humanoids
22,Anamesa ,"Humanoids whose consciousness is divided between this realm and the next.
",Humanoids
23,"Android, Variant ","Living constructs with a soul.
",Humanoids
24,"Angel, Variant ","Angels are a powerful race of creatures created by good-aligned Gods.
",Humanoids
25,Angelic Succubus ,"The familiar demons, with reformed features
",Humanoids
26,Anomalies ,"Soul returned to bodies
",Humanoids
27,Anomalous Human ,"Humans with just a little extra added on.
",Humanoids
28,Anouki ,"Waddling like penguins, but with antlers like moose and faces resembling hylians, anouki are quite a sight. Their blubber-filled bodies are most at home in cold climates.
",Humanoids
29,Anthousai ,"Nymphs of flowers that, unlike the dryad, bound themselves to the Material Plane.
",Humanoids
30,Anthro Humans ,"Humans forced into animal experimentation
",Humanoids
31,Anthrolupe ,"Wild Anthrolupes are the solitary hunters of the anthropomorphic wolf race the anthrolupes. They live in the wilderness, generally far from cities.
",Humanoids
32,Antilonoid ,"Being prey does not mean being weak.
",Humanoids
33,Anuran ,"Their small stature and amphibian nature grants these small frog people many advantages.
",Humanoids
34,Apeling ,"A race of nimble and strong monkey-like people.
",Humanoids
35,Aphrodian ,"A race with diversity between the genders where it is surprising to see if they are even related.
",Humanoids
36,Apidites ,"A Humanoid Race of Bees, each designed to fill a purpose in their militaristic hives
",Humanoids
37,Apoidea ,"A race of humanoid bees native to the Feywild
",Humanoids
38,Apothicon ,"Living in the Underdark, these mysterious creatures sport odd shimmering eyes
",Humanoids
39,Aquarion ,"Aquatic Elvenkind with a greek-styled society, and fondness of the great hunt.
",Humanoids
40,Arachne ,"Creatures with the upper torso of a humanoid and lower torso of a spider.
",Humanoids
41,Aracoi ,"Pure chaos taken a humanoid form, aracoi are beings with scorpion-like tails and horns of various animals.
",Humanoids
42,Arborens ,"The Arborens are a race of humanoid tree creatures that excel at stealth.
",Humanoids
43,Argile ,"Clay men with the souls of a human, though they don't show them that much.
",Humanoids
44,Arkanos ,"Humanoid anglerfish creatures
",Humanoids
45,Armadillo-Kin ,"Armadillo-kins share the abilities and traits of their armadillo cousins, of which some are improved on due to their size and mind.
",Humanoids
46,Armaldo ,"Land walking fossils brought back to life
",Humanoids
47,Arsenasite ,"Hulking insectoids slaves that have been mistaken for Umber Hulks for many years
",Humanoids
48,Astral Being ,"The krill of the Astral plane
",Humanoids
49,Astéri ,"The Astéri are a race of primordial starfish people often seen along coasts and shorelines.
",Humanoids
50,"Asura, Guild Wars ","A small race of advanced magical inventors.
",Humanoids
51,Asura ,"Multi-armed demi-gods prone to wild emotions
",Humanoids
52,Atlantean ,"Atlanteans are strong, versatile warriors of the seas, acclimated to the oceans and survival underwater.
",Humanoids
53,Audino ,"Cute and pudgy, these rabbit-like creatures want nothing more than to heal your wounds.
",Humanoids
54,Aurochs ,"Moon Cows, tougher then most races
",Humanoids
55,Automaton ,"Conscious and aware machines, made not by magic or divine power, but by science.
",Humanoids
56,"Avali, Variant ","You're cute... You're fluffy... But that doesn't mean you can't kick butt.
",Humanoids
57,Avali ,"Feathered humanoid descended from powerful ambush predators
",Humanoids
58,Avariel ,"Elves of the sky or winged elves.
",Humanoids
59,Aven ,"Aven live as a unique tandem of bird and man. Thanks to their strong wings, beaks, and talons, each has an expected set of attributes.
",Humanoids
60,"Avian, Variant ","An advanced race of bird-like humanoids that are deeply connected with their god Kluex.
",Humanoids
61,Avian ,"Strong and religious bird race from Starbound related to humans in many ways.
",Humanoids
62,Avion ,"Avion are very agile half harpy half human creatures usually occurring from a mutation within the egg.
",Humanoids
63,Awakened Owl Bear ,"Owlbears in an Awakened state
",Humanoids
64,Axostome ,"Axolotl people from the realm of fire
",Humanoids
65,Azara ,"Azara are powerful tribal creatures somewhere between a wolf and a cat.
",Humanoids
66,Azmari Lion ,"A proud race of hunters and seers that live in the coldest regions of the world, where many others don't even dare to tread.
",Humanoids
67,Badgerfolk ,"All Badgerfolk, whether strong or weak, are sturdy. Their claws make them excellent at digging and the underground portion of their lives have gifted them with sight in the dark.
",Humanoids
68,Bantam Fomorian ,"A smaller variety of a giant species
",Humanoids
69,Basitin ,"Anthropomorphic cat-rabbit beings
",Humanoids
70,Bearon ,"Sir Bearington's own proud and mighty race of humanoid Ursus (Ursine Bears).
",Humanoids
71,Beast-Borne ,"Beast-borne are excellent hunters and better friends. Endlessly loyal to those they consider family.
",Humanoids
72,Beeholder ,"Bee-like humanoid capable of flight.
",Humanoids
73,Beheaded ,"An immortal thing. Quick, deadly, and with a weird sense of humour.
",Humanoids
74,Beholderborn ,"A race of humanoids descended from the cursed Beholders.
",Humanoids
75,Beholdertouched ,"Humans spliced with the genetics of a beholder to grant them superintelligence.
",Humanoids
76,Betrayed ,"Deformed shadows of elven ancestry, these towering, emaciated, porcelain-skinned creatures' appearances hide their abilities they have adapted over hundreds of years of brutalization.
",Humanoids
77,Birali ,"Birali are nimble cat-humanoid creatures who care not for others' opinions of them.
",Humanoids
78,Bisharp ,"Savage humanoid pokemon whose bodies are naturally covered in armor and blades.
",Humanoids
79,Blaad' Os ,"Humanoid squids with three red eyes. (Kind of like a miniature Cthulhu.)
",Humanoids
80,Black Blood Angel ,"Angels blackened by betrayal.
",Humanoids
81,Black Eyes ,"A demonic humanoid with stark black eyes and unusual supernatural capabilities.
",Humanoids
82,Blackheart ,"Humans made powerful fiends, seeking revenge and conquest
",Humanoids
83,Bladebound ,"Bladebound serve as the enforcers of the Undying Light and are equipped to serve as well as possible in this role.
",Humanoids
84,Bladeling ,"Warlike outsiders from the Infinite Battlefield of Acheron.
",Humanoids
85,Blaziken ,"Tall, flightless, bird-like humanoids that combine fire and martial arts.
",Humanoids
86,Bleeko ,"Small, intelligent, and fascinated with light, Bleekos are masters of illusion and stealth.
",Humanoids
87,"Blood Angel, Variant ","The child of a Tiefling and a Fallen Angel.
",Humanoids
88,Blood Angel ,"The child of a Tiefling and a Fallen Angel.
",Humanoids
89,Blood Elf - Incomplete ,"
",Humanoids
90,Bloodraven ,"The Bloodravens are a race of winged humanoids with claws that come out of their wings.
",Humanoids
91,Blossom Shifter ,"A humanoid with the coloration of any arrangement of flowers. They have a very androgynous look about them and you can barely tell between the genders.
",Humanoids
92,Blue Bloods ,"Fallen angels turned sexy vampires
",Humanoids
93,Blueveined ,"Cursed to live their lives with little time, the blueveined gain other abilities relating to the magic veins coursing through them.
",Humanoids
94,Bonded ,"Creatures born from the Elemental Chaos and ever in flux, these creatures are born alongside their Chaos Die.
",Humanoids
95,Borosi ,"Feline shaped people with nightmare eyes.
",Humanoids
96,Boss Monster ,"Magical Monster-Goats.
",Humanoids
97,Bossemer ,"Mountaintop humanoids with unique talents.
",Humanoids
98,Branded ,"Branded are a hated union of beorc and laguz
",Humanoids
99,Breloom ,"Mushrooms that punch
",Humanoids
100,Brightmaid ,"Brightmaids are the result of a unicorn blessing a baby while still in it's mother's womb.
",Humanoids
101,Browl ,"A race of bestial humanoids that fiercely defend their mystic trees. A secluded people recently returned to the material plane slowly integrating with the other races.
",Humanoids
102,Bularre ,"Bularre are powerful humanoids derived from the Bulette.
",Humanoids
103,Bullywug ,"The self acclaimed rulers of the swamps.
",Humanoids
104,Bunnyfolk ,"Animals that have had their intelligence awakened and increased to human levels because of exposure to magic.
",Humanoids
105,Cactian ,"Cactus people with a rigid outlook on life.
",Humanoids
106,Callisto ,"A faceless glowing race of liquefied stardust adventurers.
",Humanoids
107,Camelfolk ,"A reclusive race of bipedal camels.
",Humanoids
108,Canegii ,"Horned, canine-humanoids
",Humanoids
109,Canibri ,"Canibri are a race of humans cursed by an ancient forest god with some of the features of wolves and foxes.
",Humanoids
110,Canicor ,"The Canicor are a race of lupine humanoids, driven from their homes by Man and Elf.
",Humanoids
111,Canus ,"Human-like creatures with dog/wolf features
",Humanoids
112,Caoraa ,"Freedom loving and stubborn humanoids with some of the traits of ungulates.
",Humanoids
113,Capricorn ,"Man beasts with large horns, similar to Minotaur although more agile.
",Humanoids
114,Caprin ,"Both subraces of Caprin share similar physical traits due to their cultures, stocky bodies, and horns.
",Humanoids
115,Carnophage ,"An all female race of nocturnal corpse eating scavengers who resemble children.
",Humanoids
116,Castoran ,"Master Craftsmen of wood and profound house guests, these Beaver-like humanoids share similar traits to their critter cousins.
",Humanoids
117,Catfolk ,"A race of Cat people, with as many variations as there are colors.
",Humanoids
118,Catkin ,"Inquisitive small felines, full of energy and pride.
",Humanoids
119,Cauzerauti ,"Humanoid warthogs created for evil, that have finally escaped their wicked origins.
",Humanoids
120,Celt ,"You are a very wise and powerful humanoid more invested in nature.
",Humanoids
121,Celtic Born ,"Your celtic born has several traits as a result of their ancestry and ancient bond with nature.
",Humanoids
122,"Centaur, Variant ","The nomadic horsefolk of the wilds.
",Humanoids
123,Chaik ,"A race of oddly-skinned humanoids that live amongst the races of the Feywild.
",Humanoids
124,Chamasin ,"Plants of fire and light
",Humanoids
125,"Changeling, 2nd Variant ","Half-Human, Half-Doppelganger - the changeling is the master of disguise and intrigue.
",Humanoids
126,"Changeling, Variant ","Shapeshifting humanoids with a distant connection to the doppleganger. Who will you decide to be?
",Humanoids
127,"Charr, Variant ","The charr are powerful feline soldiers that have mastered the art of war over thousands of years of conflict.
",Humanoids
128,Charr ,"The charr race was forged in the merciless crucible of war. It is all they know. War defines them, and their quest for dominion drives them ever onward.
",Humanoids
129,Chattur ,"A spacefaring race that resembles a small monkey or rodent. They are known as ""space bandits"".
",Humanoids
130,Cheliceri ,"Humanoid spider-like people.
",Humanoids
131,Cheox ,"The corrupted fauns of necrotic origin. A true abomination to the world, and one that is aggressive to all.
",Humanoids
132,Chesnaught ,"Bulky, armored pokemon with a kind heart and a desire to protect what they hold dear.
",Humanoids
133,Chibido ,"Beautiful childlike humanoids in both body and voice.
",Humanoids
134,Chimera ,"A cursed race of travelers who constantly must move their homes or face the wrath of an ancient deity.
",Humanoids
135,Chimeran ,"Chimerans are tough and strong, with their natural weapons and fierceness they will overcome any obstacle
",Humanoids
136,Chimeroth ,"Lithe, strong, and intelligent beings that utilize their talents in ways that enable them to quickly adapt in order to survive.
",Humanoids
137,Cijelese ,"Dryads that appears elven except for their plant like hair.
",Humanoids
138,Clabber ,"Half-Mimics, created with a touch of necromancy.
",Humanoids
139,Clawfolk ,"A hardy race of ranger type humanoids.
",Humanoids
140,Clown ,"
",Humanoids
141,Clugs ,"Four armed, two headed humanoids of great strength.
",Humanoids
142,Coldskin ,"Coldskin are humans that came in contact with the Elemental Planes of Water and Air in a bizarre event that changed them, and their world, forever.
",Humanoids
143,Console Patron Unit ,"You are a down to earth being powered by faith; you mingle with the people to garner their respect and reverence.
",Humanoids
144,Convel ,"Humanoids with the ears tails and canines of a wolf, with strong loyalty to their friends
",Humanoids
145,Corado ,"Beings of desire and lust who are trying their best to fit in.
",Humanoids
146,Corivilus ,"The Corivilus are a flying ape-like creature originally from the Elemental Plane of Air.
",Humanoids
147,Corodont ,"Masked beings of the sword
",Humanoids
148,Corollin ,"Formerly constructs created by magic, powered by a gem core that controls them.
",Humanoids
149,Cosmalog ,"Cloudy humanoids from the skies above, brought by a holy comet.
",Humanoids
150,Coyouin ,"Shark-like people who are friendly beyond belief.
",Humanoids
151,Crabfolk ,"Crab-like humanoids with large claws and great strength. Look like crab, talk like people.
",Humanoids
152,Cragfar ,"Stonewalking peoples who build settlements on the sides of sheer cliffs.
",Humanoids
153,Crimson Demon ,"A clan of modified humans known for their red eyes, magical talent, and odd behavior.
",Humanoids
154,Crocadilian ,"Humanoid crocodiles that lurk in swamplands.
",Humanoids
155,Cursedion ,"Short, little, cursed people with magic attunements
",Humanoids
156,Cutebold ,"Cutebolds are sneaky and mischievous but cute and childish creatures that are related to kobolds.
",Humanoids
157,Cy'kn ,"Cy'kn are lizardlike humanoids that originate from the Lower Planes. Ironically, they are champions of justice.
",Humanoids
158,Cyborg ,"A race whose physical abilities are extended beyond normal limitations by mechanical elements built into the body.
",Humanoids
159,D'ziriak ,"Cheerfully coloured, glowing insectile humanoids dwelling in the Shadowfell.
",Humanoids
160,Daemonii ,"Let these carry your power to swell within your muscles and your rage course through your veins!
",Humanoids
161,Daiyokai ,"Greater rulers of yokai
",Humanoids
162,Dant ,"A race mistreated for their demonic lineage
",Humanoids
163,Dantise ,"Also known as Dire Elves. A crossbreed of orc and elves, the dantise blends the traits of both races.
",Humanoids
164,Dark Ones ,"Homo Novus, the Dark Ones, are Mystic masters born in a radioactive world that was left to rot. They decided to thrive.
",Humanoids
165,Darkling ,"Seelie fey whose curse causes them to rapidly age in sunlight, but make great assassins.
",Humanoids
166,Darshroom ,"A race of small humanoid mushrooms with mushroom caps that grant them various powers.
",Humanoids
167,Decidueye ,"Collected, focused avian pokemon who employ ranged combat and stealthy tactics to win their battles.
",Humanoids
168,Dedede Spawn ,"The origins of this race can be traced back to the Great King Dedede, who somehow managed to reproduce alone and spawned this proud, stupid, and powerful race of creatures.
",Humanoids
169,Deku Scrub ,"Small, wooden, and sharing many characteristics with plants — most other races find deku scrubs a bit odd.
",Humanoids
170,Delphox ,"Bipedal vulpine diviners with a mastery of fire magic and psionics.
",Humanoids
171,Dem'Fe ,"Strength doesn't come from the arms that carry your weapons, but actions you do in the name of your tribe. A race of 4-armed desert dwelling elvish-folk that favor might to magic.
",Humanoids
172,Demigod ,"The offspring of a god and a mortal, a hero of days, a Demigod.
",Humanoids
173,Demyling ,"""Yes, I am Half Halfling, but don't call me a Quarterling!""
",Humanoids
174,Denieran ,"A race of humanoids with large magical eyes and strangely colored skin.
",Humanoids
175,Derro ,"Underdark humanoids that resemble dwarves
",Humanoids
176,Devil Gear ,"Mechanical servants born and bred in the Underworld
",Humanoids
177,Devilkin ,"Devil/Mortal love baby
",Humanoids
178,"Dhampir, Variant ","The offspring of a vampire and a human necrophiliac.
",Humanoids
179,Dhampir ,"The offspring of a vampire and a human necrophiliac.
",Humanoids
180,Dhampir / Dhampirica ,"Vampire half breeds that took on the strengths, but few weaknesses, of the vampires
",Humanoids
181,Dhampire ,"Vampire-human spawn with magic and spirit capabilities
",Humanoids
182,Dhampyr ,"
",Humanoids
183,Dire Human ,"Humans after a bad episode of naked and afraid.
",Humanoids
184,Dnilb ,"Dnilbs are eyeless bipedal fish.
",Humanoids
185,Doppelganger ,"A deceitful race of shapeshifting hedonists, with quick reflexes and strange outlooks.
",Humanoids
186,Dorthin ,"Blind, monastic humanoids
",Humanoids
187,Dracogoblin ,"Dracogoblins are typically small, quick to run, and greedy. They act as if they are above other goblins and raiders but often fall into the same lifestyle as them.
",Humanoids
188,Dracon ,"Dracons are a race of dragons cursed in the egg to hatch in humanoid form.
",Humanoids
189,Draconic Angel ,"A crossbreed between an Angel and a Dragon, Draconic Angels inherit the best of both worlds.
",Humanoids
190,Draenei ,"Draenei, from the World of Warcraft franchise.
",Humanoids
191,Dragonblood Outcasts ,"A cautious race of humans mixed with a little dragon blood.
",Humanoids
192,Dragonkin ,"More civilized than those dragonborn.
",Humanoids
193,Dragonsnakes ,"Frightful reptilian naga creatures
",Humanoids
194,Drakiin ,"Eladrin/dragon hybrids.
",Humanoids
195,Drakyn ,"Half-Humanoid, Half-Full-Dragon.
",Humanoids
196,Dredge ,"Communist naked mole rats.
",Humanoids
197,Drell ,"You're a reptilian killing machine.
",Humanoids
198,Drider ,"Half-spider, half-drow. These creatures are a testament to the will of the dark goddess Lolth.
",Humanoids
199,Drock-Yar ,"Sly, bitter but unopposably cunning goblinoids.
",Humanoids
200,Droll ,"Drow and troll spawn
",Humanoids
201,Dryad ,"Humanoids made of Wood. Guardians of the Forest. Watchers of Nature.
",Humanoids
202,Dryt ,"Plant based creatures that possess psionic abilities and a rich culture.
",Humanoids
203,Duarling ,"Short but scrappy, these natural adventurers are born for battle.
",Humanoids
204,"Dullahan, Variant ","You've got a disembodied, floating head!
",Humanoids
205,Dullahan ,"The headless harbingers of death.
",Humanoids
206,Dwelf ,"Half elf, half dwarf? What an abomination!
",Humanoids
207,Dysteria ,"Diseased filled scavengers.
",Humanoids
208,Dōbutsu ,"Anime animal people.
",Humanoids
209,Eagle-folk ,"Eagle-folk are strong and agile
",Humanoids
210,Earth Giant ,"A race of giants, smaller than the rest of their kind their power comes from deep within the earth and posses the ability to manipulate the earth.
",Humanoids
211,Earthmen ,"A race of poorly made golems turned free-thinking fighters.
",Humanoids
212,Eflint ,"Enigmatic evolutionaries ... or shapeshifting fibbers?
",Humanoids
213,Egyphim ,"A unique, fallen angelic shifter that turns into a winged snake.
",Humanoids
214,Elf Orc ,"Elf orcs, savagely graceful or gracefully savage. You choose.
",Humanoids
215,Eliotrope ,"Portal makers hunted for their abilities.
",Humanoids
216,Elnade ,"Elnade are strong-willed, wise, and attuned to the waters around them.
",Humanoids
217,Eltieam ,"Not tiefling or human, but a whole other race of soldiers and rulers.
",Humanoids
218,Embodied Mouther ,"Gibbering Mouthers taken humanoid form, a race that battles with monstrous and aberrant origins.
",Humanoids
219,Ender Shade ,"Ender Shades are the defenition of unknown, but their human appearance has made their recent resurfacing campaign almost unnoticed.
",Humanoids
220,Enfield ,"Humanoids with the cunning and body of foxes and with the wings and talons of raptors.
",Humanoids
221,Entling ,"Entlings are a tree-like humanoid creature with incredible strength and barkskin that gives it a strong natural armor.
",Humanoids
222,Equinar ,"A being between good and evil, with traits of both
",Humanoids
223,Etterman ,"Ettermen are the ettercap-fused human creations of a mad wizard, using their webs and wall-climbing to uphold justice and good, or to savagely demolish their enemies.
",Humanoids
224,Everlasting Child ,"It looks like a child. It behaves like a child. It likes sweets. But it hasn't been a child for a good while.
",Humanoids
225,Evnir ,"A clockwork race of unknown origins, even to themselves.
",Humanoids
226,Evorian ,"Powerful humanoids in both sight and mind.
",Humanoids
227,Exceed ,"Small creatures almost indistinguishable from house cats, but capable of walking on two legs and even growing wings.
",Humanoids
228,Fae ,"Fae are charismatic beings, capable of inflicting a lot of damage. They rely heavily on their senses.
",Humanoids
229,Faerie Elf ,"Good and Bad Fairies, the playable race.
",Humanoids
230,"Fairy, Variant ","Puny manifestations of nature, these eternally young-hearted fey spend their days playing games and pulling pranks.
",Humanoids
231,Fallen Angel ,"Once created for the sake of their deity, now serve themselves.
",Humanoids
232,Fallen God ,"Once a deity, you now walk among mortals. Only a shred of your divine power remains.
",Humanoids
233,Fallen Human ,"Human, Undertale Edition.
",Humanoids
234,Fanalis ,"People from a no-man's land that used to be beasts
",Humanoids
235,Fang ,"Short humanoids that carry out the wills of a death god
",Humanoids
236,Faun ,"A lighthearted and nimble race, Fauns make excellent craftsmen and deadly hunters.
",Humanoids
237,"Faunus, Variant ","A people with a deep connection to nature that manifests in an Animal Aspect. And cute cat ears.
",Humanoids
238,Faunus ,"The forest dweller with an aptitude for magic from a natural crystal inside their bodies
",Humanoids
239,Feles ,"Humanoids with cat-like ears, tails and claws.
",Humanoids
240,Felys ,"A race of nomad feline humanoids with ambiguous morality.
",Humanoids
241,Fenrirborn ,"The descendants of ancient and noble beasts, The Fenrir. Fenrirborns appear to be human in appearance, but their physical capabilities far exceed that of a normal human.
",Humanoids
242,Fey'ri ,"Fiendish elves.
",Humanoids
243,Feyling ,"The cute friendliness of a halfling with the mischievous blood of the fey. What's not to love?
",Humanoids
244,Filgaian ,"Rough and tumble humans from a Wild world.
",Humanoids
245,Fireborn ,"Humanoids created in the ashes of a war between the Material and Fire planes.
",Humanoids
246,"Firenewt, Variant ","Fire-worshipping amphibious militants.
",Humanoids
247,Firenewt ,"Fire-worshipping amphibious militants.
",Humanoids
248,Floran ,"Florans are strong and swift. Though they appear to lack intelligence, they only lack education.
",Humanoids
249,Florges ,"Gorgeous fey pokemon that can bring out the hidden power of flowers.
",Humanoids
250,Foreclaimers ,"Foreclaimers are an ancient ancestor to modern elves with no concept of empathy. These elves use sun-charged crystals for power themselves. Any racial traits are lost when unpowered.
",Humanoids
251,Frogfolk ,"Frogfolk are normal frogs enchanted by elven magic
",Humanoids
252,Frosk ,"Frozen dwarves from the far northern realms.
",Humanoids
253,Froslass ,"Female snow spirits known for freezing men and using their corpses to decorate their dens.
",Humanoids
254,Frost Demon ,"A powerful race of megalomaniacs.
",Humanoids
255,Fée ,"Big-eyed draconic folk
",Humanoids
256,Fēnglì De Xīyì Rén ,"The intelligent, ancient, reptilian island dwellers that most consider to be the apex of the races.
",Humanoids
257,Gadragger ,"Gadragger are very intelligent and slightly monstrous item collectors.
",Humanoids
258,Galapian ,"A race of turtle-like humanoids that move slowly, but are very hardy and wise.
",Humanoids
259,Gallade ,"Courteous creatures with an undying loyalty to those whom they share a close bond with.
",Humanoids
260,Gallataur ,"A mixture of minotaur and centaur, but only in appearance
",Humanoids
261,Galvan ,"The galvan are a species of small bipedal, frog-like amphibians.
",Humanoids
262,Gardevoir ,"Graceful creatures with an undying loyalty to those who they share a close bond with.
",Humanoids
263,Geitlan ,"Geitlan, known to many as Goatfolk, are a race of half-human half-goat humanoids similar to Satyrs or Minotaur.
",Humanoids
264,Geminus ,"The sons and daughters of aasimar and tieflings
",Humanoids
265,Gengar ,"Large rotund phantoms with a fondness for curses and an appetite for souls.
",Humanoids
266,Gerudo ,"Tall, beautiful, powerful, and brutal, the race of almost nothing but women is both coveted and feared.
",Humanoids
267,Gesttil ,"A goblin-like race with gems for eyes.
",Humanoids
268,Ghoul (Tokyo Ghoul) ,"Seemingly normal humans with a dark truth.
",Humanoids
269,Giff ,"Thick-skinned, hippopotami-headed spacefaring mercenaries with a love of firearms.
",Humanoids
270,Gilldren ,"An intelligent, yet charismatic race with water as their greatest ally.
",Humanoids
271,Gillman ,"Wise and sturdy, the Gillmen are an aquatic humanoid race that are able to swim and breathe underwater.
",Humanoids
272,Githet ,"The Githet are a race of silent, stealthy feline-folk that live within tropical areas of the world.
",Humanoids
273,Gnoll ,"Gnolls are brutal hunters with a demonic ancestry who are fiercely loyal to their pack.
",Humanoids
274,Goblini ,"The Goblini are visually similar to Goblins, though, of a much smaller size, they are agile and cunning, and tiny.
",Humanoids
275,Golisopod ,"Big armored sea creatures that sharpen their skills through meditation
",Humanoids
276,Golric ,"A Golric is a Half-Goliath, Half-Orc half-breed— massively powerful and scorned by their own cultures, Golrics are borne from brutal pasts into uncertain futures.
",Humanoids
277,Goron ,"Built like mountains, eating rocks, and wading through lava — gorons are nothing if not hardy and impregnable
",Humanoids
278,Gren'wir ,"Dolphin-like humanoids who have largely avoided contact with other peoples beside their own.
",Humanoids
279,Grendle ,"Humanoid creatures with troll ancestry
",Humanoids
280,Greninja ,"Bipedal frog pokemon that destroy enemies with ninja-like movements and large shurikens made of compressed water.
",Humanoids
281,Grummite ,"Small, Green, Amphibious and Extra Mean
",Humanoids
282,Gryffindor ,"Gryffindors are, as said, the definition of the saying, tough cookie.
",Humanoids
283,Guhuza ,"Simian people like gorillas and new world monkeys
",Humanoids
284,Gungan ,"Ever wanted to play a character akin to Jar Jar Binks?
",Humanoids
285,Hadozee ,"Space monkeys.
",Humanoids
286,Hadramiel ,"Loyal Winged Elves.
",Humanoids
287,Haibane ,"These humanoids were once many things. Lovers, heroes, even villains once. Granted a second chance at life, with no memory of before, they now atone for the sins of their past lives.
",Humanoids
288,Half-Devil ,"A being borne of human and a greater devil.
",Humanoids
289,Half-Douen ,"Trapped Forever in their twisted childish bodies saved from an early death. A curse? Or a chance for rebirth?
",Humanoids
290,Half-Dragon ,"The spawn of Dragon and of Man.
",Humanoids
291,Half-Dryad ,"The children of the forest fey.
",Humanoids
292,"Half-Dwarf, Variant ","The rare product of a Human-Dwarven Coupling, though the results are contrary to the name.
",Humanoids
293,Half-Dwarf ,"Half-Dwarves share the versatility of their human heritage while retaining some of the resilience of their Dwarven ancestors.
",Humanoids
294,Half-Fairy ,"The offspring of a fairy and a mortal.
",Humanoids
295,Half-Giant ,"Simple, deliberate, stubborn, and hulking. Not very nimble.
",Humanoids
296,Half-Gnome ,"Imagine a dwarf, now imagine a smart, civilized, happy, and precise dwarf with a well trimmed small beard. This is a half-gnome.
",Humanoids
297,Half-Hag ,"Tall and lanky, born from hags who bed mortal men. At least they still retain minor qualities of their hag mothers.
",Humanoids
